Date	time	ms	output	display	units	precision
7/3/2014	9:05:55 AM	8522	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:55 AM	8612	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:55 AM	8700	-0.050000	-0.050000	%	3.000000
7/3/2014	9:05:55 AM	8784	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:55 AM	8873	-0.020000	-0.020000	%	3.000000
7/3/2014	9:05:55 AM	8960	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:55 AM	9045	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:56 AM	9132	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:56 AM	9220	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:56 AM	9305	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:56 AM	9379	-0.050000	-0.050000	%	3.000000
7/3/2014	9:05:56 AM	9463	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:56 AM	9541	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:56 AM	9629	-0.050000	-0.050000	%	3.000000
7/3/2014	9:05:56 AM	9714	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:56 AM	9801	-0.050000	-0.050000	%	3.000000
7/3/2014	9:05:56 AM	9889	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:56 AM	9974	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:57 AM	0061	-0.050000	-0.050000	%	3.000000
7/3/2014	9:05:57 AM	0149	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:57 AM	0234	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:57 AM	0320	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:57 AM	0409	-0.040000	-0.040000	%	3.000000
7/3/2014	9:05:57 AM	0494	-0.050000	-0.050000	%	3.000000
7/3/2014	9:05:57 AM	0582	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:57 AM	0669	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:57 AM	0758	-0.050000	-0.050000	%	3.000000
7/3/2014	9:05:57 AM	0843	-0.060000	-0.060000	%	3.000000
7/3/2014	9:05:57 AM	0931	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:57 AM	1020	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:58 AM	1108	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:58 AM	1192	-0.050000	-0.050000	%	3.000000
7/3/2014	9:05:58 AM	1268	-0.050000	-0.050000	%	3.000000
7/3/2014	9:05:58 AM	1354	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:58 AM	1430	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:58 AM	1518	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:58 AM	1604	-0.050000	-0.050000	%	3.000000
7/3/2014	9:05:58 AM	1690	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:58 AM	1778	-0.050000	-0.050000	%	3.000000
7/3/2014	9:05:58 AM	1864	-0.050000	-0.050000	%	3.000000
7/3/2014	9:05:58 AM	1950	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:58 AM	2038	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:59 AM	2123	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:59 AM	2209	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:59 AM	2297	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:59 AM	2382	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:59 AM	2470	-0.020000	-0.020000	%	3.000000
7/3/2014	9:05:59 AM	2558	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:59 AM	2647	-0.030000	-0.030000	%	3.000000
